W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1)) [],re(Gamma(1)) [],re(Zo(1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.55,59.2,-16.05098063,-6.925176741,2031.250798,5.423425491,142.2663548,103.0013317,-16.4900976
0.55,59.25,-15.82535822,-6.959633209,2033.509198,5.426615473,142.2417605,101.3989765,-18.08790607
0.55,59.3,-15.57889216,-6.997939712,2035.767018,5.42980786,142.2172946,99.68494084,-19.680935
0.55,59.35,-15.31375296,-7.040174627,2038.02426,5.433002645,142.1929566,97.83518791,-21.26561023
0.55,59.4,-15.03291787,-7.08631375,2040.280925,5.436199816,142.1687458,95.82716931,-22.83791786
0.55,59.45,-14.74017034,-7.136193207,2042.537016,5.439399364,142.1446618,93.64127872,-24.39347607
0.55,59.5,-14.44003096,-7.189463592,2044.792535,5.442601278,142.120704,91.26242644,-25.92770157
0.55,59.55,-14.13760656,-7.245536934,2047.047484,5.445805549,142.0968717,88.68157945,-27.43613173
0.55,59.6,-13.83835298,-7.303533313,2049.301864,5.449012168,142.0731646,85.89705778,-28.9149897
0.55,59.65,-13.54776088,-7.362244546,2051.555678,5.452221124,142.0495819,82.91534697,-30.3620996
0.55,59.7,-13.27099121,-7.420151097,2053.808926,5.455432408,142.0261233,79.75120018,-31.77824207
0.55,59.75,-13.01250434,-7.475555246,2056.061612,5.45864601,142.0027881,76.42688025,-33.1689184
0.55,59.8,-12.77573765,-7.526917616,2058.313738,5.461861921,141.9795758,72.97053197,-34.54615277
0.55,59.85,-12.56288521,-7.5734687,2060.565304,5.465080131,141.9564859,69.41384958,-35.92932511
0.55,59.9,-12.37481769,-7.616044575,2062.816313,5.46830063,141.9335179,65.7893636,-37.34328755
0.55,59.95,-12.21115363,-7.657822623,2065.066767,5.471523411,141.9106712,62.12775532,-38.81202863
0.55,60,-12.07046383,-7.704343871,2067.316667,5.474748462,141.8879453,58.45558794,-40.34824341
0.55,60.05,-11.95056796,-7.762308635,2069.566016,5.477975775,141.8653398,54.7937281,-41.94328378
0.55,60.1,-11.84887314,-7.837404222,2071.814816,5.481205341,141.8428539,51.15657001,-43.56442874
0.55,60.15,-11.76270857,-7.932320455,2074.063067,5.48443715,141.8204874,47.55202419,-45.16271396
0.55,60.2,-11.68962358,-8.046075577,2076.310772,5.487671193,141.7982396,43.98213626,-46.68681738
0.55,60.25,-11.62763172,-8.174746746,2078.557933,5.490907462,141.7761101,40.44417185,-48.0948616
0.55,60.3,-11.57539582,-8.312812672,2080.804552,5.494145948,141.7540983,36.93202977,-49.35955958
0.55,60.35,-11.53235483,-8.454303184,2083.05063,5.49738664,141.7322038,33.43790114,-50.46762379
0.55,60.4,-11.49879093,-8.593443204,2085.296169,5.500629531,141.710426,29.95415064,-51.41671966
0.55,60.45,-11.4758273,-8.724876584,2087.541171,5.503874612,141.6887645,26.47543055,-52.21253575
0.55,60.5,-11.46533261,-8.843680197,2089.785638,5.507121874,141.6672187,23.00102239,-52.86701289
0.55,60.55,-11.46969342,-8.945341754,2092.029571,5.510371308,141.6457882,19.53730594,-53.39773304
0.55,60.6,-11.49140679,-9.025800893,2094.272973,5.513622906,141.6244725,16.10005621,-53.82803959
0.55,60.65,-11.53245692,-9.081593822,2096.515844,5.516876658,141.6032712,12.71596906,-54.1873722
0.55,60.7,-11.5934877,-9.110101646,2098.758187,5.520132556,141.5821836,9.422490965,-54.51133484
0.55,60.75,-11.67288006,-9.109873151,2101.000004,5.523390593,141.5612094,6.26487829,-54.84109393
0.55,60.8,-11.76597376,-9.080968672,2103.241295,5.526650758,141.5403481,3.289740215,-55.22182098
0.55,60.85,-11.86477684,-9.025253706,2105.482064,5.529913044,141.5195992,0.535374712,-55.7000672
0.55,60.9,-11.9584837,-8.946564134,2107.722311,5.533177443,141.4989622,-1.979148973,-56.32018271
0.55,60.95,-12.03489954,-8.85067433,2109.962039,5.536443946,141.4784367,-4.262740278,-57.12013607
