"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(Y(1,1)) [deg]","ang_deg(Y(2,1)) [deg]"
0.5,58.95,-9.20322218316211,-1.65664432818295,1976.69815258181,4.8045170843734,17.9977365437248,79.8120340108343,-94.8109329323046
0.5,59,-9.32487839715444,-1.63735462652667,1978.65377614281,4.80814738561876,17.9972715703762,79.8145695756507,-95.0602219213626
0.5,59.05,-9.45388142564278,-1.617841996386,1980.60921274899,4.81177923125053,17.9968153904293,79.7958245103041,-95.3210785790366
0.5,59.1,-9.59056286987778,-1.5981404933111,1982.56446316323,4.81541261933569,17.9963679791614,79.75520381546,-95.5949441864227
0.5,59.15,-9.735279726535,-1.5782847421375,1984.51952814544,4.81904754795129,17.9959293119858,79.6918773181782,-95.8834407490695
0.5,59.2,-9.88841720194592,-1.55830993746935,1986.47440845259,4.82268401518441,17.9954993644509,79.6047537215174,-96.1884017027353
0.5,59.25,-10.0503919264605,-1.5382518480995,1988.42910483871,4.82632201913207,17.9950781122393,79.4924469311789,-96.5119096207537
0.5,59.3,-10.2216556353089,-1.51814682663453,1990.38361805491,4.82996155790116,17.994665531167,79.3532329443964,-96.8563427484051
0.5,59.35,-10.4026993955252,-1.49803182592122,1992.33794884939,4.83360262960836,17.9942615971824,79.1849950095952,-97.2244327500442
0.5,59.4,-10.5940584747754,-1.47794442427695,1994.29209796746,4.83724523238008,17.9938662863658,78.9851539929618,-97.6193368137754
0.5,59.45,-10.796317968106,-1.45792286202505,1996.24606615158,4.84088936435235,17.993479574928,78.750579839094,-98.0447282966569
0.5,59.5,-11.0101193237551,-1.43800609244735,1998.1998541413,4.8445350236708,17.99310143921,78.4774785698686,-98.5049115278848
0.5,59.55,-11.2361679406111,-1.4182338510107,2000.15346267336,4.84818220849054,17.9927318556819,78.1612472559192,-99.0049683906465
0.5,59.6,-11.4752420494792,-1.39864674762569,2002.10689248165,4.85183091697613,17.992370800942,77.796286561661,-99.5509471322234
0.5,59.65,-11.7282031403789,-1.37928638777603,2004.06014429726,4.85548114730148,17.9920182517162,77.3757564204375,-100.150107893699
0.5,59.7,-11.9960082618004,-1.36019552963492,2006.01321884846,4.85913289764977,17.9916741848572,76.8912545505539,-100.811245295931
0.5,59.75,-12.2797245993586,-1.34141828576802,2007.96611686072,4.86278616621342,17.9913385773434,76.3323889642319,-101.545116978976
0.5,59.8,-12.5805468461783,-1.32300037969585,2009.91883905675,4.86644095119399,17.9910114062783,75.6862029272178,-102.365019690846
0.5,59.85,-12.8998180130572,-1.30498946939547,2011.87138615651,4.87009725080211,17.9906926488898,74.9363917545002,-103.28757360112
0.5,59.9,-13.2390545029276,-1.28743555163101,2013.82375887716,4.87375506325743,17.9903822825293,74.0622218180282,-104.333804535228
0.5,59.95,-13.5999765046005,-1.27039146256186,2015.77595793319,4.87741438678853,17.9900802846707,73.0370175358609,-105.530658446163
0.5,60,-13.9845450625903,-1.25391349092998,2017.72798403632,4.88107521963289,17.9897866329102,71.8260129849061,-106.913151585978
0.5,60.05,-14.3950075753348,-1.23806211950302,2019.67983789558,4.88473756003675,17.9895013049649,70.3832574668937,-108.527467173821
0.5,60.1,-14.8339539906788,-1.22290290708949,2021.6315202173,4.88840140625515,17.9892242786723,68.6470995274089,-110.435474211128
0.5,60.15,-15.3043866352494,-1.20850751537395,2023.58303170513,4.89206675655175,17.9889555319898,66.5335300809878,-112.721387964593
0.5,60.2,-15.8098074578094,-1.19495486906317,2025.53437306005,4.89573360919884,17.9886950429933,63.9263411082167,-115.50161584069
0.5,60.25,-16.354327480185,-1.18233241008145,2027.4855449804,4.89940196247727,17.9884427898772,60.6627613237905,-118.939127440533
0.5,60.3,-16.9428043327814,-1.1707373609353,2029.43654816185,4.90307181467634,17.9881987509532,56.5135022187897,-123.263415541196
0.5,60.35,-17.5810145463968,-1.16027784157048,2031.38738329746,4.90674316409379,17.9879629046495,51.158954711498,-128.794307815208
0.5,60.4,-18.2758667467167,-1.15107358029597,2033.33805107767,4.91041600903567,17.9877352295105,44.1746440927584,-135.956521439236
0.5,60.45,-19.0356572918332,-1.14325581722959,2035.28855219031,4.91409034781637,17.9875157041955,35.0727287273403,-145.238174600602
